team,group,espn_team_id,abbreviation,short_name,logo,source
Czechia,A,450,CZE,Czechia,,TheStatsAPI fixtures + ESPN scoreboard
Korea Republic,A,451,KOR,South Korea,,TheStatsAPI fixtures + ESPN scoreboard
Mexico,A,203,MEX,Mexico,,TheStatsAPI fixtures + ESPN scoreboard
South Africa,A,467,RSA,South Africa,,TheStatsAPI fixtures + ESPN scoreboard
Bosnia and Herzegovina,B,452,BIH,Bosnia-Herz,,TheStatsAPI fixtures + ESPN scoreboard
Canada,B,206,CAN,Canada,,TheStatsAPI fixtures + ESPN scoreboard
Qatar,B,4398,QAT,Qatar,,TheStatsAPI fixtures + ESPN scoreboard
Switzerland,B,475,SUI,Switzerland,,TheStatsAPI fixtures + ESPN scoreboard
Brazil,C,205,BRA,Brazil,,TheStatsAPI fixtures + ESPN scoreboard
Haiti,C,2654,HAI,Haiti,,TheStatsAPI fixtures + ESPN scoreboard
Morocco,C,2869,MAR,Morocco,,TheStatsAPI fixtures + ESPN scoreboard
Scotland,C,580,SCO,Scotland,,TheStatsAPI fixtures + ESPN scoreboard
Australia,D,628,AUS,Australia,,TheStatsAPI fixtures + ESPN scoreboard
Paraguay,D,210,PAR,Paraguay,,TheStatsAPI fixtures + ESPN scoreboard
Turkiye,D,465,TUR,Türkiye,,TheStatsAPI fixtures + ESPN scoreboard
United States,D,660,USA,USA,,TheStatsAPI fixtures + ESPN scoreboard
Cote d'Ivoire,E,4789,CIV,Ivory Coast,,TheStatsAPI fixtures + ESPN scoreboard
Curacao,E,11678,CUW,Curaçao,,TheStatsAPI fixtures + ESPN scoreboard
Ecuador,E,209,ECU,Ecuador,,TheStatsAPI fixtures + ESPN scoreboard
Germany,E,481,GER,Germany,,TheStatsAPI fixtures + ESPN scoreboard
Japan,F,627,JPN,Japan,,TheStatsAPI fixtures + ESPN scoreboard
Netherlands,F,449,NED,Netherlands,,TheStatsAPI fixtures + ESPN scoreboard
Sweden,F,466,SWE,Sweden,,TheStatsAPI fixtures + ESPN scoreboard
Tunisia,F,659,TUN,Tunisia,,TheStatsAPI fixtures + ESPN scoreboard
Belgium,G,459,BEL,Belgium,,TheStatsAPI fixtures + ESPN scoreboard
Egypt,G,2620,EGY,Egypt,,TheStatsAPI fixtures + ESPN scoreboard
IR Iran,G,469,IRN,Iran,,TheStatsAPI fixtures + ESPN scoreboard
New Zealand,G,2666,NZL,New Zealand,,TheStatsAPI fixtures + ESPN scoreboard
Cabo Verde,H,2597,CPV,Cape Verde,,TheStatsAPI fixtures + ESPN scoreboard
Saudi Arabia,H,655,KSA,Saudi Arabia,,TheStatsAPI fixtures + ESPN scoreboard
Spain,H,164,ESP,Spain,,TheStatsAPI fixtures + ESPN scoreboard
Uruguay,H,212,URU,Uruguay,,TheStatsAPI fixtures + ESPN scoreboard
France,I,478,FRA,France,,TheStatsAPI fixtures + ESPN scoreboard
Iraq,I,4375,IRQ,Iraq,,TheStatsAPI fixtures + ESPN scoreboard
Norway,I,464,NOR,Norway,,TheStatsAPI fixtures + ESPN scoreboard
Senegal,I,654,SEN,Senegal,,TheStatsAPI fixtures + ESPN scoreboard
Algeria,J,624,ALG,Algeria,,TheStatsAPI fixtures + ESPN scoreboard
Argentina,J,202,ARG,Argentina,,TheStatsAPI fixtures + ESPN scoreboard
Austria,J,474,AUT,Austria,,TheStatsAPI fixtures + ESPN scoreboard
Jordan,J,2917,JOR,Jordan,,TheStatsAPI fixtures + ESPN scoreboard
Colombia,K,208,COL,Colombia,,TheStatsAPI fixtures + ESPN scoreboard
Congo DR,K,2850,COD,Congo DR,,TheStatsAPI fixtures + ESPN scoreboard
Portugal,K,482,POR,Portugal,,TheStatsAPI fixtures + ESPN scoreboard
Uzbekistan,K,2570,UZB,Uzbekistan,,TheStatsAPI fixtures + ESPN scoreboard
Croatia,L,477,CRO,Croatia,,TheStatsAPI fixtures + ESPN scoreboard
England,L,448,ENG,England,,TheStatsAPI fixtures + ESPN scoreboard
Ghana,L,4469,GHA,Ghana,,TheStatsAPI fixtures + ESPN scoreboard
Panama,L,2659,PAN,Panama,,TheStatsAPI fixtures + ESPN scoreboard
